2025-09-09T01:10:31.5803063 | CREATE | CREATED | P-0012 | 1002623831 | Paciente almacenado
2025-09-09T03:12:40.4535545 | RETRIEVE | FOUND | P-0008 | 100254323 | OK
2025-09-09T03:13:57.8489413 | RETRIEVE | NOT_FOUND | p-1 |  | No existe
2025-09-09T03:43:15.7938545 | RETRIEVE | FOUND | P-0004 | 25161563 | DISEASES=NONE
2025-09-09T03:43:43.2539619 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=victor galindo(8976345623);victor galindo(8976345623)
2025-09-09T03:53:34.7302458 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T03:58:30.0565946 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T04:15:02.9782951 | RETRIEVE | NOT_FOUND | p3 |  | No existe
2025-09-09T04:15:46.8313753 | RETRIEVE | FOUND | P-0007 | 310329982 | DISEASES=NONE
2025-09-09T04:16:18.9217207 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T04:20:58.0161064 | CREATE | CREATED | P-0017 | 1234567800 | Paciente almacenado
2025-09-09T04:20:58.020134 | FASTA | SAVED | P-0017 | 1234567800 | Guardado exacto (BASE64)
2025-09-09T04:20:58.039477 | DETECTION | FOUND | P-0017 | 1234567800 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T04:20:58.0406422 | DETECTION | FOUND | P-0017 | 1234567800 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T04:21:47.2453957 | RETRIEVE | NOT_FOUND | P-001000 |  | No existe
2025-09-09T04:21:53.0241782 | RETRIEVE | FOUND | P-0017 | 1234567800 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T05:16:34.9596733 | DELETE | INACTIVATED | P-0017 | 1234567800 | OK
2025-09-09T05:16:40.9089061 | RETRIEVE | FOUND | P-0017 | 1234567800 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T05:17:32.75234 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T05:17:53.4482725 | DELETE | INACTIVATED | P-0016 | 8976345623 | OK
2025-09-09T20:24:00.8276425 | UPDATE | NOT_FOUND | p--1 |  | No existe
2025-09-09T20:25:10.6886598 | UPDATE | UPDATED | P-0017 | 1234567800 | metadata
2025-09-09T20:45:45.1793209 | UPDATE | UPDATED | P-0017 | 1234567800 | metadata
2025-09-09T20:45:54.6050476 | RETRIEVE | NOT_FOUND | p-0017 |  | No existe
2025-09-09T20:46:13.2253298 | RETRIEVE | NOT_FOUND | p-0016 |  | No existe
2025-09-09T20:46:27.9079982 | RETRIEVE | NOT_FOUND | p-0015 |  | No existe
2025-09-09T20:47:02.7452337 | RETRIEVE | FOUND | P-0017 | 1234567800 | DISEASES=influenza(7);sarscov2(9)
2025-09-09T20:53:56.52402 | UPDATE | UPDATED | P-0017 | 1234567800 | metadata
2025-09-09T20:54:17.7837354 | DETECTION | FOUND | P-0017 | 1234567800 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T20:54:17.7848161 | DETECTION | FOUND | P-0017 | 1234567800 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T20:54:17.7848161 | UPDATE | UPDATED | P-0017 | 1234567800 | metadata+fasta
2025-09-09T20:55:13.8605065 | DETECTION | FOUND | P-0017 | 1234567800 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-09T20:55:13.861511 | UPDATE | UPDATED | P-0017 | 1234567800 | metadata+fasta
2025-09-09T20:57:07.8781258 | RETRIEVE | FOUND | P-0017 | 1234567800 | DISEASES=influenza(7);sarscov2(9);influenza(7);sarscov2(9);anemia_falciforme(8)
2025-09-09T21:15:55.577516 | RETRIEVE | FOUND | P-0014 | 3205363051 | DISEASES=sarscov2(9)
2025-09-09T21:17:18.0799793 | UPDATE | SYNC_DETECCIONES | P-0014 | 3205363051 | full_name=yes, doc=yes
2025-09-09T21:17:18.1124891 | DETECTION | FOUND | P-0014 | 3205363051 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-09T21:17:18.1149614 | UPDATE | UPDATED | P-0014 | 3205363051 | metadata+fasta
2025-09-09T21:26:45.3581936 | UPDATE | SYNC_DETECCIONES | P-0013 | 1002678432 | full_name=no, doc=yes
2025-09-09T21:26:45.365313 | DETECTION | FOUND | P-0013 | 1002678432 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-09T21:26:45.3663349 | UPDATE | UPDATED | P-0013 | 1002678432 | metadata+fasta
2025-09-09T21:28:03.4809407 | UPDATE | SYNC_DETECCIONES | P-0013 | 1002678432 | full_name=no, doc=yes
2025-09-09T21:28:03.4910622 | UPDATE | UPDATED | P-0013 | 1002678432 | metadata
2025-09-09T21:29:27.1165763 | UPDATE | SYNC_DETECCIONES | P-0016 | 8976345623 | full_name=no, doc=yes
2025-09-09T21:29:27.1506425 | DETECTION | FOUND | P-0016 | 8976345623 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T21:29:27.1526644 | DETECTION | FOUND | P-0016 | 8976345623 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T21:29:27.1526644 | UPDATE | UPDATED | P-0016 | 8976345623 | metadata+fasta
2025-09-09T21:35:05.0595182 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=influenza(7);sarscov2(9);influenza(7);sarscov2(9)
2025-09-09T21:35:29.7897622 | UPDATE | SYNC_DETECCIONES | P-0016 | 8976345623 | full_name/doc sincronizados en detecciones.csv
2025-09-09T21:35:29.7970504 | UPDATE | UPDATED | P-0016 | 8976345623 | metadata
2025-09-09T21:36:46.8607164 | UPDATE | SYNC_DETECCIONES | P-0016 | 8976345623 | full_name/doc sincronizados en detecciones.csv
2025-09-09T21:36:46.8627489 | UPDATE | UPDATED | P-0016 | 8976345623 | metadata
2025-09-09T21:37:36.5059635 | UPDATE | SYNC_DETECCIONES | P-0016 | 8976345623 | full_name/doc sincronizados en detecciones.csv
2025-09-09T21:37:36.5473635 | DETECTION | FOUND | P-0016 | 8976345623 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-09T21:37:36.5473635 | UPDATE | UPDATED | P-0016 | 8976345623 | metadata+fasta
2025-09-09T21:38:39.9761922 | RETRIEVE | FOUND | P-0016 | 8976345623 | DISEASES=influenza(7);sarscov2(9);influenza(7);sarscov2(9);anemia_falciforme(8)
2025-09-09T21:56:36.4963915 | CREATE | CREATED | P-0018 | 0090102011 | Paciente almacenado
2025-09-09T21:56:36.5004179 | FASTA | SAVED | P-0018 | 0090102011 | Guardado exacto (BASE64)
2025-09-09T21:56:36.5243718 | DETECTION | FOUND | P-0018 | 0090102011 | dengue(7) Matched 9/9 bases (100%)
2025-09-09T21:56:36.5285182 | DETECTION | FOUND | P-0018 | 0090102011 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T21:56:36.5285182 | DETECTION | FOUND | P-0018 | 0090102011 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T21:56:36.5295461 | DETECTION | FOUND | P-0018 | 0090102011 | zika(8) Matched 10/10 bases (100%)
2025-09-09T22:02:17.6268518 | RETRIEVE | FOUND | P-0018 | 0090102011 | DISEASES=dengue(7);influenza(7);sarscov2(9);zika(8)
2025-09-09T22:04:18.0180339 | UPDATE | SYNC_DETECCIONES | P-0018 | 0090102011 | full_name/doc sincronizados en detecciones.csv
2025-09-09T22:04:18.0230818 | UPDATE | UPDATED | P-0018 | 0090102011 | metadata
2025-09-09T22:04:42.1274267 | RETRIEVE | FOUND | P-0018 | 0090102011 | DISEASES=dengue(7);influenza(7);sarscov2(9);zika(8)
2025-09-09T22:09:58.2701022 | UPDATE | SYNC_DETECCIONES | P-0018 | 0090102011 | full_name/doc sincronizados en detecciones.csv
2025-09-09T22:09:58.2817679 | DETECTION | FOUND | P-0018 | 0090102011 | dengue(7) Matched 7/9 bases (77%)
2025-09-09T22:09:58.2827728 | DETECTION | FOUND | P-0018 | 0090102011 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T22:09:58.2838727 | DETECTION | FOUND | P-0018 | 0090102011 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T22:09:58.2838727 | UPDATE | UPDATED | P-0018 | 0090102011 | metadata+fasta
2025-09-09T22:10:38.3788961 | UPDATE | SYNC_DETECCIONES | P-0018 | 0090102011 | full_name/doc sincronizados en detecciones.csv
2025-09-09T22:10:38.3861068 | DETECTION | FOUND | P-0018 | 0090102011 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-09T22:10:38.3875858 | UPDATE | UPDATED | P-0018 | 0090102011 | metadata+fasta
2025-09-09T22:11:08.1942943 | RETRIEVE | FOUND | P-0018 | 0090102011 | DISEASES=dengue(7);influenza(7);sarscov2(9);zika(8);dengue(7);influenza(7);sarscov2(9);anemia_falciforme(8)
2025-09-09T22:11:22.7572126 | DELETE | NOT_FOUND | P-0019 |  | No existe
2025-09-09T22:11:28.5931278 | DELETE | INACTIVATED | P-0018 | 0090102011 | OK
2025-09-09T22:11:34.2878944 | RETRIEVE | NOT_FOUND | P-0019 |  | No existe
2025-09-09T22:11:38.2999536 | RETRIEVE | FOUND | P-0018 | 0090102011 | DISEASES=dengue(7);influenza(7);sarscov2(9);zika(8);dengue(7);influenza(7);sarscov2(9);anemia_falciforme(8)
2025-09-09T23:24:25.3141998 | RETRIEVE | FOUND | P-0013 | 1002678432 | DISEASES=sarscov2(9);anemia_falciforme(8)
2025-09-09T23:24:36.3157699 | DELETE | NOT_FOUND | P-0030002 |  | No existe
2025-09-09T23:24:55.8041183 | RETRIEVE | FOUND | P-0018 | 0090102011 | DISEASES=dengue(7);influenza(7);sarscov2(9);zika(8);dengue(7);influenza(7);sarscov2(9);anemia_falciforme(8)
2025-09-09T23:25:05.3231491 | RETRIEVE | NOT_FOUND | p-009 |  | No existe
2025-09-09T23:25:09.723139 | RETRIEVE | NOT_FOUND | p-0013 |  | No existe
2025-09-09T23:25:18.137286 | RETRIEVE | FOUND | P-0013 | 1002678432 | DISEASES=sarscov2(9);anemia_falciforme(8)
2025-09-09T23:25:30.6783812 | DELETE | INACTIVATED | P-0013 | 1002678432 | OK
2025-09-09T23:25:34.6537816 | RETRIEVE | FOUND | P-0013 | 1002678432 | DISEASES=sarscov2(9);anemia_falciforme(8)
2025-09-09T23:27:23.464426 | CREATE | INVALID |  | 1002593169 | Email inválido
2025-09-09T23:27:45.3003809 | DELETE | NOT_FOUND | P-009 |  | No existe
2025-09-09T23:29:21.4547352 | UPDATE | SYNC_DETECCIONES | P-0013 | 1002678432 | full_name/doc sincronizados en detecciones.csv
2025-09-09T23:29:21.4928082 | DETECTION | FOUND | P-0013 | 1002678432 | dengue(7) Matched 7/9 bases (77%)
2025-09-09T23:29:21.4958103 | DETECTION | FOUND | P-0013 | 1002678432 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T23:29:21.4968091 | DETECTION | FOUND | P-0013 | 1002678432 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T23:29:21.4978111 | UPDATE | UPDATED | P-0013 | 1002678432 | metadata+fasta
2025-09-09T23:30:01.204851 | CREATE | DUPLICATE |  | 1002593169 | Documento ya existe
2025-09-09T23:30:29.6924259 | CREATE | CREATED | P-0019 | 0987654321 | Paciente almacenado
2025-09-09T23:30:29.694466 | FASTA | SAVED | P-0019 | 0987654321 | Guardado exacto (BASE64)
2025-09-09T23:30:29.6995079 | DETECTION | FOUND | P-0019 | 0987654321 | dengue(7) Matched 7/9 bases (77%)
2025-09-09T23:30:29.7005283 | DETECTION | FOUND | P-0019 | 0987654321 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T23:30:29.7015411 | DETECTION | FOUND | P-0019 | 0987654321 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T23:30:42.8896195 | RETRIEVE | NOT_FOUND | p-0019 |  | No existe
2025-09-09T23:30:49.8897196 | RETRIEVE | FOUND | P-0019 | 0987654321 | DISEASES=dengue(7);influenza(7);sarscov2(9)
2025-09-10T12:16:33.8412955 | CREATE | CREATED | P-0020 | 2789096521 | Paciente almacenado
2025-09-10T12:16:33.8468387 | FASTA | SAVED | P-0020 | 2789096521 | Guardado exacto (BASE64)
2025-09-10T12:16:33.8789625 | DETECTION | FOUND | P-0020 | 2789096521 | dengue(7) Matched 7/9 bases (77%)
2025-09-10T12:16:33.8822294 | DETECTION | FOUND | P-0020 | 2789096521 | influenza(7) Matched 4/5 bases (80%)
2025-09-10T12:16:33.8832292 | DETECTION | FOUND | P-0020 | 2789096521 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-10T12:16:56.7403505 | RETRIEVE | FOUND | P-0020 | 2789096521 | DISEASES=dengue(7);influenza(7);sarscov2(9)
2025-09-10T12:39:02.4601244 | CREATE | CREATED | P-0021 | 1002593267 | Paciente almacenado
2025-09-10T12:39:02.4601244 | FASTA | SAVED | P-0021 | 1002593267 | Guardado exacto (BASE64)
2025-09-10T12:39:02.4939165 | DETECTION | FOUND | P-0021 | 1002593267 | dengue(7) Matched 7/9 bases (77%)
2025-09-10T12:39:02.4939165 | DETECTION | FOUND | P-0021 | 1002593267 | influenza(7) Matched 4/5 bases (80%)
2025-09-10T12:39:02.4939165 | DETECTION | FOUND | P-0021 | 1002593267 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-10T12:40:13.360879 | CREATE | INVALID |  | 1002593168 | FASTA_SEQUENCE_INVALID|Sólo A,C,G,T,N
2025-09-10T12:41:59.0245311 | UPDATE | NOT_FOUND | p-0020 |  | No existe
2025-09-10T12:43:08.8397953 | UPDATE | SYNC_DETECCIONES | P-0020 | 2789096521 | full_name/doc sincronizados en detecciones.csv
2025-09-10T12:43:08.8545511 | DETECTION | FOUND | P-0020 | 2789096521 | dengue(7) Matched 9/9 bases (100%)
2025-09-10T12:43:08.8597378 | DETECTION | FOUND | P-0020 | 2789096521 | influenza(7) Matched 4/5 bases (80%)
2025-09-10T12:43:08.8597378 | DETECTION | FOUND | P-0020 | 2789096521 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-10T12:43:08.8597378 | DETECTION | FOUND | P-0020 | 2789096521 | zika(8) Matched 10/10 bases (100%)
2025-09-10T12:43:08.8597378 | UPDATE | UPDATED | P-0020 | 2789096521 | metadata+fasta
2025-09-10T13:02:36.3120331 | UPDATE | SYNC_DETECCIONES | P-0020 | 2789096521 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:02:36.3279327 | UPDATE | UPDATED | P-0020 | 2789096521 | metadata
2025-09-10T13:03:11.6077785 | UPDATE | SYNC_DETECCIONES | P-0020 | 2789096521 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:03:11.6129192 | UPDATE | UPDATED | P-0020 | 2789096521 | metadata
2025-09-10T13:05:18.3904139 | UPDATE | SYNC_DETECCIONES | P-0020 | 2789096521 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:05:18.3904139 | UPDATE | UPDATED | P-0020 | 2789096521 | metadata
2025-09-10T13:06:15.8958634 | UPDATE | SYNC_DETECCIONES | P-0021 | 1002593267 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:06:15.9389818 | DETECTION | FOUND | P-0021 | 1002593267 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-10T13:06:15.9389818 | UPDATE | UPDATED | P-0021 | 1002593267 | metadata+fasta
2025-09-10T13:09:46.8121852 | DELETE | NOT_FOUND | P-0086 |  | No existe
2025-09-10T13:10:00.8971054 | UPDATE | NOT_FOUND | P-009089 |  | No existe
2025-09-10T13:10:16.8757095 | RETRIEVE | NOT_FOUND | P-008 |  | No existe
2025-09-10T13:10:26.9480955 | RETRIEVE | FOUND | P-0008 | 100254323 | DISEASES=2025-09-08T01:44:55.1507391(Matched 15/15 bases (100%))
2025-09-10T13:11:14.4013901 | UPDATE | SYNC_DETECCIONES | P-0008 | 100254323 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:11:14.4170417 | DETECTION | FOUND | P-0008 | 100254323 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-10T13:11:14.4170417 | UPDATE | UPDATED | P-0008 | 100254323 | metadata+fasta
2025-09-10T13:11:38.1513172 | RETRIEVE | FOUND | P-0008 | 100254323 | DISEASES=2025-09-08T01:44:55.1507391(Matched 15/15 bases (100%));anemia_falciforme(8)
2025-09-10T13:15:35.469634 | UPDATE | SYNC_DETECCIONES | P-0008 | 100254323 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:15:35.469634 | UPDATE | UPDATED | P-0008 | 100254323 | metadata
2025-09-10T13:16:42.857838 | UPDATE | SYNC_DETECCIONES | P-0008 | 100254323 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:16:42.857838 | UPDATE | INVALID | P-0008 | 100254323 | FASTA_SEQUENCE_INVALID|Sólo A,C,G,T,N
2025-09-10T13:27:54.9487745 | CREATE | CREATED | P-0022 | 1002593162 | Paciente almacenado
2025-09-10T13:27:54.9604484 | FASTA | SAVED | P-0022 | 1002593162 | Guardado exacto (BASE64)
2025-09-10T13:27:54.9604484 | DETECTION | FOUND | P-0022 | 1002593162 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-10T13:28:36.1988164 | RETRIEVE | FOUND | P-0022 | 1002593162 | DISEASES=anemia_falciforme(8)
2025-09-10T13:29:09.3012571 | UPDATE | INVALID | P-0022 | 1002593162 | Email inválido
2025-09-10T13:29:45.8069501 | UPDATE | SYNC_DETECCIONES | P-0022 | 1002593162 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:29:45.8069501 | UPDATE | UPDATED | P-0022 | 1002593162 | metadata
2025-09-10T13:29:54.5251662 | RETRIEVE | FOUND | P-0022 | 1002593162 | DISEASES=anemia_falciforme(8)
2025-09-10T13:30:26.9468103 | UPDATE | SYNC_DETECCIONES | P-0022 | 1002593162 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:30:26.9483154 | UPDATE | UPDATED | P-0022 | 1002593162 | metadata
2025-09-10T13:30:31.4761245 | RETRIEVE | FOUND | P-0022 | 1002593162 | DISEASES=anemia_falciforme(8)
2025-09-10T13:30:55.9660563 | UPDATE | SYNC_DETECCIONES | P-0022 | 1002593162 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:30:55.9660563 | DETECTION | FOUND | P-0022 | 1002593162 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-10T13:30:55.9660563 | UPDATE | UPDATED | P-0022 | 1002593162 | metadata+fasta
2025-09-10T13:31:39.3491358 | UPDATE | SYNC_DETECCIONES | P-0022 | 1002593162 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:31:39.3491358 | DETECTION | FOUND | P-0022 | 1002593162 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-10T13:31:39.3491358 | UPDATE | UPDATED | P-0022 | 1002593162 | metadata+fasta
2025-09-10T13:32:32.4518925 | UPDATE | SYNC_DETECCIONES | P-0022 | 1002593162 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:32:32.459051 | DETECTION | FOUND | P-0022 | 1002593162 | dengue(7) Matched 9/9 bases (100%)
2025-09-10T13:32:32.459051 | DETECTION | FOUND | P-0022 | 1002593162 | influenza(7) Matched 4/5 bases (80%)
2025-09-10T13:32:32.459051 | DETECTION | FOUND | P-0022 | 1002593162 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-10T13:32:32.4600657 | DETECTION | FOUND | P-0022 | 1002593162 | zika(8) Matched 10/10 bases (100%)
2025-09-10T13:32:32.4600657 | UPDATE | UPDATED | P-0022 | 1002593162 | metadata+fasta
2025-09-10T13:34:07.2493263 | CREATE | CREATED | P-0023 | 10025324582 | Paciente almacenado
2025-09-10T13:34:07.2493263 | FASTA | SAVED | P-0023 | 10025324582 | Guardado exacto (BASE64)
2025-09-10T13:34:07.2578656 | DETECTION | FOUND | P-0023 | 10025324582 | ebola(9) Matched 10/10 bases (100%)
2025-09-10T13:34:20.4140505 | RETRIEVE | FOUND | P-0022 | 1002593162 | DISEASES=anemia_falciforme(8);anemia_falciforme(8);anemia_falciforme(8);dengue(7);influenza(7);sarscov2(9);zika(8)
2025-09-10T13:34:27.9734273 | RETRIEVE | FOUND | P-0023 | 10025324582 | DISEASES=ebola(9)
2025-09-10T13:38:14.7537096 | UPDATE | NOT_FOUND | p-0023 |  | No existe
2025-09-10T13:38:39.8366495 | UPDATE | SYNC_DETECCIONES | P-0023 | 10025324582 | full_name/doc sincronizados en detecciones.csv
2025-09-10T13:38:39.8366495 | DETECTION | FOUND | P-0023 | 10025324582 | dengue(7) Matched 7/9 bases (77%)
2025-09-10T13:38:39.8366495 | DETECTION | FOUND | P-0023 | 10025324582 | influenza(7) Matched 4/5 bases (80%)
2025-09-10T13:38:39.8366495 | DETECTION | FOUND | P-0023 | 10025324582 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-10T13:38:39.8366495 | UPDATE | UPDATED | P-0023 | 10025324582 | metadata+fasta
2025-09-10T13:38:47.6178434 | RETRIEVE | FOUND | P-0023 | 10025324582 | DISEASES=ebola(9);dengue(7);influenza(7);sarscov2(9)
2025-09-10T13:38:54.8132917 | DELETE | INACTIVATED | P-0023 | 10025324582 | OK
2025-09-10T13:38:59.5548216 | RETRIEVE | FOUND | P-0023 | 10025324582 | DISEASES=ebola(9);dengue(7);influenza(7);sarscov2(9)
